participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,position_is_top,correct_button,response_window,late_response,response_time
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,0,1,0,1000,1,1506.6959857940674
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,0,1,1,1000,0,760.595977306366
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,0,0,1,1000,0,866.9340014457703
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,0,1,1,1000,0,587.6249670982361
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,1,1,0,1040,1,1230.7980060577393
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,1,0,1,990,0,948.0710029602051
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,1,0,1,990,0,827.1860480308533
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,1,0,1,990,0,545.1310276985168
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,2,1,1,1080,0,945.3229904174805
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,2,1,1,980,0,699.9689936637878
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,2,0,1,980,0,597.4739789962769
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,2,1,1,980,0,569.9970126152039
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,3,0,0,1070,1,1330.0209641456604
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,3,0,1,960,0,682.8019618988037
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,3,1,1,960,0,559.1209530830383
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,3,0,1,960,0,560.4960322380066
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,4,0,0,1110,1,1156.6070318222046
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,4,1,1,920,0,714.8309946060181
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,4,0,1,920,0,802.7089834213257
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,4,0,1,920,0,692.2850012779236
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,5,1,1,1150,0,849.8709797859192
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,5,0,0,840,1,885.9689831733704
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,5,0,1,840,0,692.1809911727905
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,5,1,1,840,0,494.966983795166
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,6,0,1,1140,0,719.3819880485535
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,6,0,0,880,1,929.8239946365356
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,6,1,1,680,0,544.7779893875122
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,6,0,1,680,0,677.9020428657532
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,7,1,1,1130,0,642.8869962692261
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,7,1,1,920,0,758.1179738044739
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,7,1,0,360,1,728.9049625396729
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,7,0,0,360,1,784.0529680252075
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,8,1,0,1110,1,1221.5279936790466
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,8,0,1,910,0,649.8169898986816
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,8,1,0,400,1,669.0959930419922
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,8,0,0,400,1,752.2040009498596
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,9,0,0,1150,1,1390.5779719352722
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,9,0,1,900,0,755.0939917564392
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,9,0,0,440,1,548.1600165367126
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,9,1,1,440,0,435.7759952545166
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,10,1,1,1190,0,1039.9380326271057
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,10,1,1,880,0,756.6189765930176
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,10,1,1,520,0,487.8399968147278
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,10,0,0,430,1,531.8560004234314
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,11,0,1,1180,0,706.7130208015442
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,11,0,1,840,0,679.6039938926697
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,11,0,1,510,0,418.5839891433716
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,11,1,0,470,1,1053.6640286445618
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,12,0,0,1170,1,1446.8650221824646
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,12,0,1,760,0,631.3430070877075
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,12,1,1,500,0,468.52898597717285
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,12,1,0,510,0,451.308012008667
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,13,0,1,1210,0,912.1260046958923
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,13,0,0,600,1,619.3009614944458
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,13,1,0,480,1,593.0820107460022
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,13,1,1,590,0,515.3080224990845
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,14,1,0,1200,0,907.4829816818237
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,14,1,0,640,1,692.4200057983398
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,14,1,0,520,1,602.1789908409119
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,14,0,1,580,0,491.0150170326233
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,15,1,0,1240,0,1123.4310269355774
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,15,1,1,680,0,555.6470155715942
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,15,0,0,560,1,596.3299870491028
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,15,1,1,570,0,494.720995426178
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,16,1,1,1280,0,831.3109874725342
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,16,1,1,670,0,621.159017086029
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,16,0,1,640,0,593.3850407600403
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,16,1,0,550,1,657.2980284690857
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,17,0,1,1270,0,761.1719965934753
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,17,1,0,660,1,1472.9639887809753
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,17,0,0,630,0,484.3219518661499
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,17,0,0,590,1,652.4029970169067
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,18,0,0,1260,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,18,0,0,700,1,747.1849918365479
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,18,1,1,670,0,652.8780460357666
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,18,0,0,630,0,517.8679823875427
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,19,1,0,1300,0,745.5509901046753
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,19,0,0,740,1,968.3400392532349
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,19,0,1,660,0,596.7360138893127
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,19,1,1,710,0,518.3510184288025
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,20,1,1,1340,0,1136.6280317306519
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,20,1,1,820,0,756.0330033302307
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,20,1,1,650,0,441.90001487731934
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,20,0,1,700,0,450.6910443305969
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,21,1,0,1330,1,1338.0030393600464
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,21,1,0,810,0,538.0600094795227
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,21,1,1,630,0,519.0669894218445
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,21,0,1,690,0,590.5460119247437
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,22,0,0,1370,0,1016.9099569320679
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,22,0,0,850,1,1099.34800863266
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,22,1,1,590,0,543.3000326156616
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,22,1,1,670,0,527.1790027618408
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,23,0,1,1410,0,452.32802629470825
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,23,1,0,890,1,933.6990118026733
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,23,0,1,510,0,425.1100420951843
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,23,1,0,630,1,707.4829936027527
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,24,0,0,1400,0,945.6200003623962
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,24,1,1,970,0,695.5540180206299
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_12,24,1,0,350,1,538.7080311775208
ADMIN-UCSF-BS002,2017-12-08 21:18:13+00:00,2017-12-12 17:39:05+00:00,,Feature_4,24,1,1,670,0,646.49897813797
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,0,1,0,1000,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,0,0,0,1000,1,1201.3899683952332
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_12,0,0,0,1000,0,263.65000009536743
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_4,0,1,1,1000,0,448.8530158996582
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,1,0,1,1040,0,982.8450083732605
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,1,0,0,1040,0,566.1420226097107
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_12,1,1,1,1040,0,536.2100005149841
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_4,1,0,1,990,0,508.74900817871094
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,2,1,0,1030,1,1038.3639931678772
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,2,0,1,1080,0,675.8320331573486
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_12,2,0,1,1030,0,313.00002336502075
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_4,2,1,1,980,0,469.5580005645752
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,3,0,1,1070,0,837.0479941368103
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,3,0,1,1070,0,758.9309811592102
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_12,3,0,0,1020,0,486.17100715637207
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_4,3,1,0,960,0,525.5230069160461
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,4,0,0,1060,0,612.3270392417908
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,4,0,1,1060,0,819.7569847106934
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_12,4,0,0,1060,1,99.78502988815308
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_4,4,1,1,1000,0,526.9269943237305
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,5,0,0,1100,1,1118.0499792099
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,5,1,1,1040,0,943.8149929046631
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_12,5,0,1,1100,0,802.2689819335938
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_4,5,0,0,990,0,444.5819854736328
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,6,0,0,1140,1,1263.0580067634583
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,6,1,0,1000,1,1032.177984714508
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_12,6,0,0,1090,0,519.8760032653809
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_4,6,0,1,1030,0,626.0650157928467
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,7,1,0,1220,1,1459.9319696426392
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,7,1,0,1040,0,715.2940034866333
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_12,7,1,0,1130,0,672.4410057067871
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_4,7,1,1,1020,0,666.2320494651794
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,8,1,1,1380,0,1242.5139546394348
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,8,1,1,1080,0,454.8879861831665
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_12,8,1,0,1170,0,489.7559881210327
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_4,8,0,1,1010,0,607.787013053894
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,9,1,1,1370,0,1273.0119824409485
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,9,1,0,1070,0,565.9639835357666
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_12,9,1,1,1250,0,687.425971031189
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_4,9,1,1,990,0,591.1040306091309
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,10,0,0,1360,1,1424.7320294380188
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,10,1,1,1110,0,736.2580299377441
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_12,10,1,1,1240,0,894.2370414733887
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_4,10,0,1,950,0,708.113968372345
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,11,1,1,1400,0,1146.0109949111938
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_4,11,1,0,1100,0,915.0100350379944
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_12,11,0,1,1230,0,868.2900071144104
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Feature_4,11,1,1,870,0,583.0649733543396
ADMIN-UCSF-BS004,2017-12-08 21:42:00+00:00,2017-12-12 17:39:05+00:00,,Conjunction_12,12,0,1,1390,0,992.8680062294006
